// List links in order from initial stance leg
// Assume same foot radius for both legs
// Foot_radius(first only)(R), length(l), mass(m), COMx(cn), COMy(wn), radius_of_gyration(rg)
0, 1, 1, 1, 0, 1
NA, 1, 1, 1, 0, 1
//NA, 1, 1, 1, 0, 1
//NA, 0.1, 1, 0.05, 0, 0.02887
//NA, 0.1, 1, 0.05, 0, 0.02887
//NA, 0.1, 1, 0.05, 0, 0.02887
//NA, 0.1, 1, 0.05, 0, 0.02887
//NA, 0.1, 1, 0.05, 0, 0.02887
//NA, 0.1, 1, 0.05, 0, 0.02887
//NA, 0.1, 1, 0.05, 0, 0.02887
//NA, 0.1, 1, 0.05, 0, 0.02887
//NA, 0.1, 1, 0.05, 0, 0.02887
